"id","pop_est_2015","county_name","state","FIPS","google_county_name","pop_est_2000","pop_est_2001","pop_est_2002","pop_est_2003","pop_est_2004","pop_est_2005","pop_est_2006","pop_est_2007","pop_est_2008","pop_est_2009","pop_est_2010","pop_est_2011","pop_est_2012","pop_est_2013","pop_est_2014"
47333,627367,"Bucks County","Pennsylvania","42017","Bucks County",599085,602883,607157,610174,613763,616302,619544,621336,623297,624648,625249,626435,626194,626313,626608
47334,186818,"Butler County","Pennsylvania","42019","Butler County",174444,175621,177146,178289,178912,179522,181009,181690,182673,183337,183862,184761,185109,185370,186386
47363,360685,"Lehigh County","Pennsylvania","42077","Lehigh County",312368,314823,317252,321588,326138,331327,336794,340848,344743,347237,349497,353654,355336,355817,358286
47337,63960,"Carbon County","Pennsylvania","42025","Carbon County",58807,59318,59820,60452,61274,62358,63105,64339,64947,65204,65249,65129,64951,64713,64418
47338,160580,"Centre County","Pennsylvania","42027","Centre County",135965,137620,140821,142926,144238,145543,148734,149498,151645,153052,153990,154976,155839,158213,159506
47340,39498,"Clarion County","Pennsylvania","42031","Clarion County",41735,41547,41220,41293,40509,40458,40615,40399,40355,40173,39988,39875,39424,39044,39428
47341,80994,"Clearfield County","Pennsylvania","42033","Clearfield County",83465,82987,82925,82422,82040,81816,82461,82558,82130,81942,81642,81521,81497,81575,81126
47342,39441,"Clinton County","Pennsylvania","42035","Clinton County",37926,37945,38007,38143,38227,38418,38730,38859,38955,39074,39238,39529,39748,39839,39511
47344,86484,"Crawford County","Pennsylvania","42039","Crawford County",90306,90105,90031,89846,89682,89452,89496,89544,89023,89044,88765,88105,87668,87401,87057
47345,246338,"Cumberland County","Pennsylvania","42041","Cumberland County",213906,215087,217318,219351,221225,223361,226835,228718,231357,233910,235406,236912,239187,241163,243533
47346,272983,"Dauphin County","Pennsylvania","42043","Dauphin County",251911,252500,254339,255585,256194,257673,260312,263096,265395,267090,268100,269119,269984,271307,272078
47348,30872,"Elk County","Pennsylvania","42047","Elk County",35033,34778,34413,34144,33835,33385,33006,32833,32504,32208,31946,31805,31630,31424,31119
47349,278045,"Erie County","Pennsylvania","42049","Erie County",280803,280647,280379,280153,277864,277211,278389,278573,278686,279838,280566,281116,281076,280117,278936
47350,133628,"Fayette County","Pennsylvania","42051","Fayette County",148214,146219,144817,143596,143494,142447,141165,140159,138813,137450,136606,136049,135490,134835,134255
47352,153638,"Franklin County","Pennsylvania","42055","Franklin County",129745,130604,131998,133583,135742,138927,142421,144840,147032,148662,149618,151037,151618,152181,152951
47353,14629,"Fulton County","Pennsylvania","42057","Fulton County",14296,14201,14251,14416,14471,14540,14714,14900,14900,14828,14845,14778,14762,14684,14615
47355,45668,"Huntingdon County","Pennsylvania","42061","Huntingdon County",45620,45594,45705,45797,45790,45771,45684,45802,45853,45896,45913,46130,46038,45901,45791
47356,86966,"Indiana County","Pennsylvania","42063","Indiana County",89518,89265,89133,89346,89041,88760,88716,88520,88807,88836,88880,88565,88229,88227,87487
47357,44430,"Jefferson County","Pennsylvania","42065","Jefferson County",45872,45644,45507,45537,45418,45353,45323,45335,45260,45073,45200,44936,44851,44954,44609
47359,211917,"Lackawanna County","Pennsylvania","42069","Lackawanna County",212999,212692,211980,211769,211861,212305,212595,213513,214044,214138,214437,214581,214477,213759,212561
47360,536624,"Lancaster County","Pennsylvania","42071","Lancaster County",471955,475483,480118,485119,489977,494722,500922,506639,511957,516577,519445,523692,526879,530238,533645
47362,137067,"Lebanon County","Pennsylvania","42075","Lebanon County",120309,120954,121698,123154,124644,126197,128302,130182,131574,132959,133568,134483,135528,135607,136196
47364,318449,"Luzerne County","Pennsylvania","42079","Luzerne County",318842,316665,315711,315640,315439,316187,316837,318232,319210,320527,320918,321153,321493,320041,319337
47366,42412,"McKean County","Pennsylvania","42083","McKean County",45748,45263,45419,44980,44582,44187,44309,44045,43856,43701,43450,43199,43245,42855,42708
47367,114234,"Mercer County","Pennsylvania","42085","Mercer County",120211,119861,119476,119431,119113,118594,118123,117794,117189,116816,116638,116239,115818,115354,114957
47368,46500,"Mifflin County","Pennsylvania","42087","Mifflin County",46479,46535,46558,46420,46313,46377,46435,46551,46600,46662,46682,46791,46837,46714,46535
47370,819264,"Montgomery County","Pennsylvania","42091","Montgomery County",751335,759392,766056,772666,776493,779401,781519,785170,789250,795494,799874,805575,809701,813704,816608
47371,18557,"Montour County","Pennsylvania","42093","Montour County",18275,18294,18237,18239,18174,18183,18114,18107,18090,18165,18267,18368,18489,18516,18609
47373,93246,"Northumberland County","Pennsylvania","42097","Northumberland",94823,94176,94024,93910,93692,93543,93475,93728,94150,94774,94528,94458,94519,94037,93770
47374,45685,"Perry County","Pennsylvania","42099","Perry County",43634,43804,43896,44216,44463,44741,45121,45454,45549,45874,45969,45864,45742,45571,45523
47375,1567442,"Philadelphia County","Pennsylvania","42101","Philadelphia County",1514563,1505455,1498493,1493802,1492882,1490861,1488710,1493309,1499731,1514694,1526006,1539087,1550584,1556686,1561562
47377,17093,"Potter County","Pennsylvania","42105","Potter County",18123,18146,18273,18168,18067,17914,17944,17659,17464,17382,17457,17453,17621,17499,17220
47378,144590,"Schuylkill County","Pennsylvania","42107","Schuylkill County",149994,149175,148705,147792,147081,146976,148005,148387,148463,148358,148289,147616,147297,146752,145546
47379,40444,"Snyder County","Pennsylvania","42109","Snyder County",37502,37955,38104,38319,38519,38448,38946,39295,39481,39550,39702,39659,39795,40079,40255
47381,6328,"Sullivan County","Pennsylvania","42113","Sullivan County",6577,6625,6592,6574,6554,6513,6487,6525,6462,6449,6428,6453,6453,6337,6336
47382,41666,"Susquehanna County","Pennsylvania","42115","Susquehanna County",42260,42483,42410,42685,42930,43219,43376,43310,43405,43346,43356,43131,42783,42316,41947
47384,44954,"Union County","Pennsylvania","42119","Union County",41622,42098,42372,42622,43287,43690,44666,44846,45057,44795,44947,45061,45135,44730,44908
47385,53119,"Venango County","Pennsylvania","42121","Venango County",57405,57091,56789,56590,56196,56016,55761,55510,55315,55087,54984,54724,54250,53933,53503
47386,40396,"Warren County","Pennsylvania","42123","Warren County",43716,43562,43184,42896,42667,42218,41972,41963,41853,41831,41815,41495,41238,40962,40720
47388,51198,"Wayne County","Pennsylvania","42127","Wayne County",47843,47994,48330,48938,49423,50409,52031,52341,51692,52552,52822,52237,51699,51640,51436
47389,357956,"Westmoreland County","Pennsylvania","42129","Westmoreland County",369664,368698,367680,367836,367281,366946,366559,366318,366058,365259,365169,364566,363252,361128,359353
47390,27800,"Wyoming County","Pennsylvania","42131","Wyoming County",28038,28119,28011,28074,28195,28160,28194,28287,28294,28268,28276,28296,28358,28139,28143
47392,49084,"Bristol County","Rhode Island","44001","Bristol County",50697,50942,51850,51658,52213,51667,50996,50914,50668,50075,49875,49273,49223,49254,49047
47393,164801,"Kent County","Rhode Island","44003","Kent County",167516,168516,169478,170641,170539,169815,168522,167515,167269,166766,166158,165308,164867,164856,164957
47395,633473,"Providence County","Rhode Island","44007","Providence County",622378,626935,632252,636149,638358,635060,631691,629110,627889,626304,626667,627784,629199,629816,632025
47396,126517,"Washington County","Rhode Island","44009","Washington County",123943,124995,126462,127248,127960,127412,126757,126895,126672,127605,126979,126486,126186,126407,126430
47397,24932,"Abbeville County","South Carolina","45001","Abbeville County",26229,26330,26311,26306,26235,25995,25821,25745,25699,25614,25417,25105,25051,24973,24926
47399,9433,"Allendale County","South Carolina","45005","Allendale County",11193,11022,11114,11092,11049,11021,10882,10787,10803,10619,10419,10251,9995,9818,9693
47400,194692,"Anderson County","South Carolina","45007","Anderson County",166304,168881,170287,171862,173539,175467,178579,181543,184520,186544,187126,188531,189342,190674,192836
47401,14880,"Bamberg County","South Carolina","45009","Bamberg County",16680,16580,16548,16342,16322,16360,16392,16226,16104,16022,15987,15867,15793,15430,15191
47403,179589,"Beaufort County","South Carolina","45013","Beaufort County",122306,125550,129290,130998,136331,141498,147213,151411,156399,159737,162233,163957,167444,170991,175118
47404,202786,"Berkeley County","South Carolina","45015","Berkeley County",143410,145153,146733,148035,151789,153489,159501,164913,171099,175092,177843,183680,189518,193872,198209
47406,389262,"Charleston County","South Carolina","45019","Charleston County",310749,313065,317379,321222,328105,331589,334826,337147,341921,346795,350209,357512,365121,372289,380338
47407,56194,"Cherokee County","South Carolina","45021","Cherokee County",52649,53020,53407,53437,53642,53772,54166,54467,54981,55149,55342,55604,55692,55786,56039
47408,32267,"Chester County","South Carolina","45023","Chester County",34159,34064,34083,33920,33633,33373,33222,33247,33454,33210,33140,32847,32660,32658,32349
47410,33775,"Clarendon County","South Carolina","45027","Clarendon County",32528,32887,33094,33305,33622,33847,34094,34250,34875,34942,34971,34643,34251,34168,34051
47411,37731,"Colleton County","South Carolina","45029","Colleton County",38304,38339,38463,38543,38672,38728,38608,38765,39014,38864,38892,38484,38227,37802,37776
47412,67548,"Darlington County","South Carolina","45031","Darlington County",67523,67863,68247,68382,68155,68185,68424,68489,68773,68705,68681,68238,68147,67910,67768
47414,152478,"Dorchester County","South Carolina","45035","Dorchester County",96757,98683,101067,104119,107337,113235,120136,126324,130593,133560,136555,140028,142401,145244,148422
47415,26514,"Edgefield County","South Carolina","45037","Edgefield County",24586,24690,24962,25404,25819,26196,26135,26493,26774,27032,26985,26740,26342,26277,26457
47417,138900,"Florence County","South Carolina","45041","Florence County",125767,126377,127343,128671,129855,130982,132489,133757,135032,136120,136885,137476,138009,138276,138988
47418,61298,"Georgetown County","South Carolina","45043","Georgetown County",56080,56800,57688,58387,59176,59521,59821,60277,60621,60369,60158,60155,60234,60444,60727
47446,6985,"Bon Homme County","South Dakota","46009","Bon Homme County",7243,7169,7091,7074,7014,6985,7174,7060,7040,7049,7070,7027,7039,7007,7008
47420,69838,"Greenwood County","South Carolina","45047","Greenwood County",66303,66544,66996,67288,67255,67630,68091,68198,68862,69598,69661,69820,69901,69754,69544
47421,20049,"Hampton County","South Carolina","45049","Hampton County",21344,21262,21186,21267,21072,21109,21104,21295,21212,21205,21090,20777,20727,20389,20422
47422,309199,"Horry County","South Carolina","45051","Horry County",198019,201982,206566,211725,219094,229899,242194,252464,260609,265640,269291,275390,281751,289050,298258
47424,63603,"Kershaw County","South Carolina","45055","Kershaw County",52851,53474,53714,54614,55415,56506,58060,59380,60395,61143,61697,62042,62242,62577,63147
47425,85842,"Lancaster County","South Carolina","45057","Lancaster County",61571,62250,63282,64210,65079,65875,66992,69504,72733,75394,76652,77753,79169,80430,83120
47426,66623,"Laurens County","South Carolina","45059","Laurens County",69428,69407,68841,68468,67784,67629,67388,67172,67173,66897,66537,66409,66245,66172,66498
47428,281833,"Lexington County","South Carolina","45063","Lexington County",216873,220099,222761,226887,230832,235176,241219,246461,252747,258983,262391,266436,270052,273408,277488
47429,9706,"McCormick County","South Carolina","45065","McCormick County",9957,10095,10110,10167,9982,10049,10166,10162,10224,10235,10233,10051,9944,9913,9861
47431,27494,"Marlboro County","South Carolina","45069","Marlboro County",28800,28606,28599,28485,28351,27918,29199,29221,29079,29189,28933,28479,28154,27951,27889
